City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
99,Catuday,PH,2022-06-12 16:28:21,16.2923,119.8062,80.13,83,100,6.58,overcast clouds
100,Hilo,US,2022-06-12 16:24:14,19.7297,-155.09,78.28,88,20,8.05,few clouds
101,Sao Filipe,CV,2022-06-12 16:28:21,14.8961,-24.4956,75.97,72,5,5.55,clear sky
102,San Quintin,MX,2022-06-12 16:28:21,30.4833,-115.95,69.46,73,12,8.43,few clouds
103,Jalu,LY,2022-06-12 16:28:22,29.0331,21.5482,90.55,26,0,19.93,clear sky
104,Bengkulu,ID,2022-06-12 16:28:22,-3.8004,102.2655,77.29,83,100,3.6,moderate rain
105,Boende,CD,2022-06-12 16:28:22,-0.2167,20.8667,79.68,69,93,0.51,overcast clouds
106,Sibu,MY,2022-06-12 16:27:51,2.3,111.8167,75.51,94,40,3.44,scattered clouds
107,Coquimbo,CL,2022-06-12 16:28:23,-29.9533,-71.3436,56.93,67,0,5.75,clear sky
108,Saint George,US,2022-06-12 16:28:09,37.1041,-113.5841,96.8,14,0,3.44,clear sky
109,Jamsa,FI,2022-06-12 16:28:23,61.8642,25.19,68.72,41,63,11.16,broken clouds
110,Gigmoto,PH,2022-06-12 16:28:23,13.7796,124.39,81.63,82,100,7.94,overcast clouds
111,Kapchorwa,UG,2022-06-12 16:28:24,1.3965,34.4509,62.06,73,85,4.85,overcast clouds
112,Pochutla,MX,2022-06-12 16:28:24,15.7432,-96.4661,85.82,62,62,3.83,broken clouds
113,Pokaran,IN,2022-06-12 16:28:24,26.9167,71.9167,88.95,43,26,27.18,scattered clouds
114,Lasa,IT,2022-06-12 16:28:25,46.6166,10.7002,81.48,31,10,3.89,clear sky
115,Avarua,CK,2022-06-12 16:28:25,-21.2078,-159.775,77.29,68,98,19.82,overcast clouds
116,Salalah,OM,2022-06-12 16:28:25,17.0151,54.0924,86.09,84,20,9.22,few clouds
117,Linxia,CN,2022-06-12 16:28:26,35.6003,103.2064,52.86,68,87,3.65,overcast clouds
118,Bathsheba,BB,2022-06-12 16:28:26,13.2167,-59.5167,88.41,66,75,24.16,broken clouds
119,Denpasar,ID,2022-06-12 16:26:38,-8.65,115.2167,78.46,94,75,10.36,heavy intensity rain
120,Bambous Virieux,MU,2022-06-12 16:28:26,-20.3428,57.7575,72.21,94,75,8.05,moderate rain
121,Turukhansk,RU,2022-06-12 16:28:27,65.8167,87.9833,67.28,52,88,13.78,overcast clouds
122,Miandrivazo,MG,2022-06-12 16:28:27,-19.5167,45.4667,79.47,40,28,4.85,scattered clouds
123,Saint-Philippe,RE,2022-06-12 16:28:27,-21.3585,55.7679,71.19,85,88,16.71,light rain
124,Ust-Kuyga,RU,2022-06-12 16:28:28,70.0167,135.6,57.09,49,0,8.77,clear sky
125,Grand Gaube,MU,2022-06-12 16:28:28,-20.0064,57.6608,72.37,80,99,10.0,overcast clouds
126,Kavaratti,IN,2022-06-12 16:28:28,10.5669,72.642,80.11,83,100,17.54,overcast clouds
127,Port Said,EG,2022-06-12 16:28:29,31.2565,32.2841,75.99,74,0,22.37,clear sky
128,Pangnirtung,CA,2022-06-12 16:28:29,66.1451,-65.7125,37.4,87,75,11.5,broken clouds
129,Lebu,CL,2022-06-12 16:28:29,-37.6167,-73.65,52.29,76,85,8.48,overcast clouds
130,Krutinka,RU,2022-06-12 16:28:30,56.0055,71.5113,56.34,94,10,9.35,clear sky
131,Mount Gambier,AU,2022-06-12 16:28:30,-37.8333,140.7667,44.51,100,100,5.75,mist
132,Tonantins,BR,2022-06-12 16:28:30,-2.8731,-67.8022,75.87,73,100,5.35,overcast clouds
133,Lagoa,PT,2022-06-12 16:28:31,39.05,-27.9833,61.81,73,5,21.41,clear sky
134,Cedral,MX,2022-06-12 16:28:31,23.8,-100.7333,73.8,40,93,13.24,overcast clouds
135,Decines-Charpieu,FR,2022-06-12 16:28:31,45.7686,4.9598,90.09,31,40,10.36,scattered clouds
136,Bethel,US,2022-06-12 16:28:32,41.3712,-73.414,70.65,80,100,10.36,overcast clouds
137,Sinnamary,GF,2022-06-12 16:28:32,5.3833,-52.95,82.11,77,68,7.09,broken clouds
138,Henties Bay,NA,2022-06-12 16:28:32,-22.116,14.2845,64.8,68,0,5.41,clear sky
139,Antalaha,MG,2022-06-12 16:28:32,-14.9003,50.2788,72.34,77,27,11.7,scattered clouds
140,Santa Rosa,PH,2022-06-12 16:24:13,14.3122,121.1114,82.38,87,96,3.47,overcast clouds
141,Gondanglegi,ID,2022-06-12 16:28:33,-7.7479,112.0132,75.69,91,96,3.18,overcast clouds
142,Dikson,RU,2022-06-12 16:28:33,73.5069,80.5464,30.47,94,76,16.42,broken clouds
143,Urengoy,RU,2022-06-12 16:28:33,65.9667,78.3667,60.98,76,99,6.08,overcast clouds
144,Lompoc,US,2022-06-12 16:28:34,34.6391,-120.4579,70.84,90,100,4.61,overcast clouds
145,Fort Frances,CA,2022-06-12 16:28:04,48.5999,-93.4003,62.82,65,75,6.91,broken clouds
146,Nikolskoye,RU,2022-06-12 16:28:34,59.7035,30.7861,67.91,58,95,6.69,overcast clouds
147,San Juan,AR,2022-06-12 16:28:34,-31.5375,-68.5364,59.72,32,17,3.04,few clouds
148,Buchanan,LR,2022-06-12 16:28:35,5.8808,-10.0467,81.0,79,96,10.36,light rain
149,Bambanglipuro,ID,2022-06-12 16:25:14,-7.95,110.2833,77.65,86,100,2.51,overcast clouds
150,Anchorage,US,2022-06-12 16:27:05,61.2181,-149.9003,55.2,73,0,9.22,clear sky
151,Tulum,MX,2022-06-12 16:28:35,20.2167,-87.4667,86.0,63,8,9.33,clear sky
152,Ilulissat,GL,2022-06-12 16:28:36,69.2167,-51.1,37.42,70,75,11.5,broken clouds
153,Bonthe,SL,2022-06-12 16:28:36,7.5264,-12.505,83.41,70,90,10.71,light rain
154,Solntsevo,RU,2022-06-12 16:28:36,51.4185,36.7499,62.94,81,17,6.71,heavy intensity rain
155,Srednekolymsk,RU,2022-06-12 16:28:36,67.45,153.6833,50.4,50,25,6.85,scattered clouds
156,Vaini,TO,2022-06-12 16:28:37,-21.2,-175.2,73.56,100,40,2.3,scattered clouds
157,Manta,EC,2022-06-12 16:25:24,-0.95,-80.7333,78.58,73,75,6.91,broken clouds
158,Paamiut,GL,2022-06-12 16:28:37,61.994,-49.6678,36.61,93,100,8.55,overcast clouds
159,Yanam,IN,2022-06-12 16:28:37,16.7333,82.2167,83.95,73,44,3.4,moderate rain
160,Georgetown,MY,2022-06-12 16:27:41,5.4112,100.3354,80.55,93,20,3.44,few clouds
161,Champerico,GT,2022-06-12 16:28:38,14.3,-91.9167,88.34,71,73,3.98,broken clouds
162,Benton Harbor,US,2022-06-12 16:26:32,42.1167,-86.4542,81.84,75,0,7.0,clear sky
163,Vaitape,PF,2022-06-12 16:28:38,-16.5167,-151.75,79.3,77,35,20.96,light rain
164,Bilma,NE,2022-06-12 16:28:38,18.6853,12.9164,109.94,7,25,7.23,scattered clouds
165,Zhigansk,RU,2022-06-12 16:28:39,66.7697,123.3711,49.87,93,100,7.16,moderate rain
166,Saldanha,ZA,2022-06-12 16:28:39,-33.0117,17.9442,59.05,77,100,18.79,overcast clouds
167,Bairiki,KI,2022-06-12 16:28:39,1.3292,172.9752,80.58,72,10,12.82,clear sky
168,Kozlovo,RU,2022-06-12 16:28:40,56.5167,36.2667,68.25,60,47,6.24,scattered clouds
169,Thompson,CA,2022-06-12 16:28:04,55.7435,-97.8558,69.96,43,75,9.22,broken clouds
170,Rudnichnyy,RU,2022-06-12 16:28:40,59.617,52.4703,56.17,61,20,7.31,few clouds
171,Sola,VU,2022-06-12 16:28:40,-13.8833,167.55,79.3,80,40,9.33,scattered clouds
172,Isangel,VU,2022-06-12 16:28:41,-19.55,169.2667,76.26,88,94,3.11,overcast clouds
173,Khorixas,NA,2022-06-12 16:28:41,-20.3667,14.9667,76.48,23,0,7.81,clear sky
174,Ilave,PE,2022-06-12 16:28:41,-16.0833,-69.6667,50.27,13,0,5.41,clear sky
175,Cameta,BR,2022-06-12 16:28:42,-2.2444,-49.4958,83.73,68,23,3.15,few clouds
176,Ancud,CL,2022-06-12 16:28:42,-41.8697,-73.8203,49.23,78,100,12.71,overcast clouds
177,Oxford,GB,2022-06-12 16:28:42,51.7522,-1.256,68.88,50,20,12.66,few clouds
178,Inhambane,MZ,2022-06-12 16:28:42,-23.865,35.3833,71.58,78,20,3.44,few clouds
179,Laguna,US,2022-06-12 16:28:43,38.421,-121.4238,76.14,67,0,11.5,clear sky
180,Hovd,MN,2022-06-12 16:28:43,48.0056,91.6419,73.81,19,45,5.35,scattered clouds
