City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Panvel,IN,2022-06-08 19:20:46,18.9833,73.1,87.87,75,100,6.26
225,Verkhnyaya Inta,RU,2022-06-08 19:20:47,65.9811,60.3094,59.22,53,0,9.82
226,Solana Beach,US,2022-06-08 19:20:47,32.9912,-117.2711,93.24,72,0,11.01
227,Santa Vitoria Do Palmar,BR,2022-06-08 19:20:48,-33.5189,-53.3681,62.13,75,83,3.29
228,Daru,PG,2022-06-08 19:20:48,-9.0763,143.2092,78.12,88,100,11.48
229,Bathsheba,BB,2022-06-08 19:21:48,13.2167,-59.5167,86.61,70,40,19.57
230,Mitu,CO,2022-06-08 19:21:49,1.1983,-70.1733,79.38,87,90,2.06
231,Duvan,RU,2022-06-08 19:21:49,55.695,57.9024,48.47,99,100,2.84
232,Altea,ES,2022-06-08 19:21:49,38.5989,-0.0514,86.63,57,100,1.99
233,Lebanon,US,2022-06-08 19:21:50,36.2081,-86.2911,87.17,72,67,10.16
234,Fort-Shevchenko,KZ,2022-06-08 19:21:50,44.5086,50.263,72.68,55,12,8.37
235,Marsa Matruh,EG,2022-06-08 19:21:51,31.3525,27.2453,75.4,73,0,12.66
236,Tandil,AR,2022-06-08 19:19:57,-37.3217,-59.1332,64.69,38,53,5.73
237,Kahului,US,2022-06-08 19:21:51,20.8947,-156.47,82.42,65,40,16.11
238,Miraflores,MX,2022-06-08 19:21:51,19.2167,-98.8083,77.65,44,100,3.71
239,Hunterville,NZ,2022-06-08 19:21:52,-39.9333,175.5667,50.56,81,100,9.4
240,Porbandar,IN,2022-06-08 19:21:52,21.6422,69.6093,84.16,83,4,14.92
241,Krabi,TH,2022-06-08 19:21:53,8.0726,98.9105,85.05,92,20,2.3
242,Port Elizabeth,ZA,2022-06-08 19:21:53,-33.918,25.5701,67.32,46,0,8.05
243,Tarko-Sale,RU,2022-06-08 19:21:54,64.9225,77.785,52.03,49,33,9.42
244,Inuvik,CA,2022-06-08 19:21:54,68.3499,-133.7218,32.76,80,100,11.5
245,Banda Aceh,ID,2022-06-08 19:21:54,5.5577,95.3222,80.64,82,100,8.59
246,Guanare,VE,2022-06-08 19:21:55,9.0418,-69.7421,73.42,100,43,3.44
247,Ulaanbaatar,MN,2022-06-08 19:17:27,47.9077,106.8832,46.53,76,75,4.47
248,Kloulklubed,PW,2022-06-08 19:21:55,7.0419,134.2556,73.9,66,97,3.38
249,Alyangula,AU,2022-06-08 19:21:56,-13.8483,136.4192,74.77,56,91,19.84
250,Chaplynka,UA,2022-06-08 19:21:56,46.3651,33.5403,68.05,57,100,5.59
251,Lucapa,AO,2022-06-08 19:21:57,-8.4192,20.7447,66.34,39,59,3.27
252,Calvinia,ZA,2022-06-08 19:21:57,-31.4707,19.776,57.69,35,0,5.55
253,Namatanai,PG,2022-06-08 19:21:57,-3.6667,152.4333,78.31,74,27,3.91
254,Eyl,SO,2022-06-08 19:21:58,7.9803,49.8164,82.78,65,81,18.57
255,Zyryanka,RU,2022-06-08 19:21:58,65.75,150.85,42.13,78,80,3.53
256,Berdigestyakh,RU,2022-06-08 19:21:59,62.0989,126.6992,60.78,68,86,0.83
257,Cabedelo,BR,2022-06-08 19:21:59,-6.9811,-34.8339,81.27,80,27,9.82
258,Okhotsk,RU,2022-06-08 19:21:59,59.3833,143.3,41.36,92,100,6.29
259,Vao,NC,2022-06-08 19:22:00,-22.6667,167.4833,74.79,81,100,21.39
260,Broken Hill,AU,2022-06-08 19:22:00,-31.95,141.4333,44.29,69,3,6.46
261,Tigil,RU,2022-06-08 19:22:01,57.8,158.6667,46.35,82,99,4.47
262,Ancud,CL,2022-06-08 19:22:01,-41.8697,-73.8203,47.23,83,100,18.32
263,Acari,PE,2022-06-08 19:22:02,-15.4311,-74.6158,72.14,65,52,8.66
264,Kushiro,JP,2022-06-08 19:22:02,42.975,144.3747,43.21,90,4,4.99
265,Maraa,BR,2022-06-08 19:22:02,-1.8333,-65.3667,82.76,80,100,2.55
266,Samarai,PG,2022-06-08 19:22:03,-10.6167,150.6667,81.21,78,100,6.26
267,Umm Lajj,SA,2022-06-08 19:22:03,25.0213,37.2685,87.31,44,0,9.73
268,Pisco,PE,2022-06-08 19:22:04,-13.7,-76.2167,66.25,72,100,8.05
269,Cairns,AU,2022-06-08 19:18:48,-16.9167,145.7667,73.35,68,75,17.27
270,Am Timan,TD,2022-06-08 19:22:04,11.0297,20.2827,87.1,46,63,12.48
271,Maniitsoq,GL,2022-06-08 19:22:04,65.4167,-52.9,41.7,64,4,4.05
272,Kampong Chhnang,KH,2022-06-08 19:22:05,12.1667,104.55,78.28,79,100,3.29
273,Zaysan,KZ,2022-06-08 19:22:05,47.4667,84.8667,64.13,35,0,7.78
274,Luderitz,NA,2022-06-08 19:22:06,-26.6481,15.1594,61.32,61,0,9.08
275,Merauke,ID,2022-06-08 19:23:53,-8.4667,140.3333,78.17,86,100,12.15
276,Axim,GH,2022-06-08 19:23:53,4.8699,-2.2405,79.77,76,55,7.76
277,Okha,RU,2022-06-08 19:23:54,53.5739,142.9478,40.01,98,100,10.63
278,Yangjiang,CN,2022-06-08 19:23:54,21.85,111.9667,75.88,93,100,10.92
279,Fallon,US,2022-06-08 19:23:55,39.4735,-118.7774,84.45,10,100,3.44
280,Thompson,CA,2022-06-08 19:23:55,55.7435,-97.8558,66.36,39,75,10.36
281,Vila Franca Do Campo,PT,2022-06-08 19:23:55,37.7167,-25.4333,74.19,76,34,7.18
282,Nizwa,OM,2022-06-08 19:23:56,22.9333,57.5333,87.75,40,0,3.4
283,Fukue,JP,2022-06-08 19:23:56,32.6881,128.8419,68.11,80,100,9.31
284,Petropavlovsk-Kamchatskiy,RU,2022-06-08 19:23:56,53.0452,158.6483,43.39,81,75,6.71
285,Eucaliptus,BO,2022-06-08 19:23:57,-17.5833,-67.5167,53.46,13,0,13.65
286,Saskylakh,RU,2022-06-08 19:23:57,71.9167,114.0833,52.11,82,68,5.64
287,Santa Marta,CO,2022-06-08 19:20:04,11.2408,-74.199,87.85,66,40,5.75
288,Koumac,NC,2022-06-08 19:23:58,-20.5667,164.2833,71.76,94,100,12.68
289,Mahebourg,MU,2022-06-08 19:23:58,-20.4081,57.7,73.69,78,40,3.44
290,Jaca,ES,2022-06-08 19:23:58,42.569,-0.5499,72.01,62,100,7.94
291,Souillac,MU,2022-06-08 19:23:59,-20.5167,57.5167,73.78,78,40,3.44
292,Champerico,GT,2022-06-08 19:23:59,14.3,-91.9167,88.34,73,100,10.18
293,Husavik,IS,2022-06-08 19:24:00,66.0449,-17.3389,48.02,85,100,2.71
294,Mogzon,RU,2022-06-08 19:24:00,51.7435,111.9606,43.99,94,29,2.82
295,Bela,IN,2022-06-08 19:24:01,25.9333,81.9833,96.67,16,78,4.65
