City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
532,Khagaul,IN,89.55,haze,25.5833,85.05,Hotel FrontLine Residency
539,Selma,US,85.17,clear sky,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
548,Diego De Almagro,CL,75.13,clear sky,-26.3667,-70.05,hotel luna del desierto
550,Nowy Tomysl,PL,76.78,overcast clouds,52.3195,16.1284,Hl-Fl. Hotel
552,Marovoay,MG,78.87,broken clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
557,Palmer,US,77.38,broken clouds,42.1584,-72.3287,Wedgewood Motel
558,Belmonte,BR,78.62,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
560,Bhatkal,IN,79.84,overcast clouds,13.9667,74.5667,Nilawar Palace
561,Martapura,ID,77.09,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
563,Bouafle,CI,89.62,moderate rain,6.9904,-5.7442,Hotel Zaouli
566,Porto-Vecchio,FR,89.26,clear sky,41.591,9.2795,Hôtel Le Goéland - Casa Santini
568,Khon Buri,TH,85.01,overcast clouds,14.5254,102.2459,Bangchongjai Cottage
569,Yang Talat,TH,88.97,overcast clouds,16.3998,103.3679,โรงแรมกู๊ดวิว
570,San Pedro,PH,81.63,few clouds,14.35,121.0167,Esquivel's Garden And Resort
577,Sulangan,PH,83.95,broken clouds,11.1373,123.7228,Maia's Beach Resort
586,Santa Cruz De Tenerife,ES,75.88,few clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
589,Tha Muang,TH,77.38,overcast clouds,13.9612,99.6412,Tha Muang Hotel
592,Petrolina,BR,89.65,light rain,-9.3986,-40.5008,JB Hotel
597,Jacareacanga,BR,86.63,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
599,Saint-Francois,FR,80.67,clear sky,46.4154,3.9054,Manoir Du Bonheur
600,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
604,Zaltan,LY,76.59,clear sky,32.947,11.8665,زلطن الشرقية
611,Mae Chan,TH,82.06,overcast clouds,20.1467,99.8526,Kiang Dao Resort
614,Wanning,CN,81.28,overcast clouds,18.8003,110.3967,Paradise Hotel
616,Waddan,LY,88.45,clear sky,29.1614,16.139,محل الشريف محمد العايب
617,Monchique,PT,75.15,clear sky,37.3177,-8.5553,Estalagem Abrigo da Montanha
618,Kudat,MY,77.29,few clouds,6.8837,116.8477,Dream Garden Hotel
619,Marsh Harbour,BS,83.03,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
620,Biak,ID,75.92,overcast clouds,-0.9131,122.8766,Penginapan Kim
621,Ashta,IN,85.19,broken clouds,23.0167,76.7167,Digambar Jain Dharamshala
625,Suluq,LY,77.59,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
626,Ruidoso,US,86.05,clear sky,33.3317,-105.673,Inn of the Mountain Gods
627,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
628,Zhanaozen,KZ,81.97,clear sky,43.3,52.8,K.korabay 28A
629,Parit Buntar,MY,80.62,overcast clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
631,San Jose,US,78.49,broken clouds,37.3394,-121.895,The Westin San Jose
635,Axim,GH,80.29,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
636,Nata,PA,80.47,overcast clouds,8.3333,-80.5167,Rey David
638,Omboue,GA,77.9,overcast clouds,-1.5746,9.2618,Hotel Olako
640,Semey,KZ,77.04,light rain,50.4111,80.2275,Grand Hotel Semey
642,Sabang,ID,83.23,overcast clouds,5.8933,95.3214,Hotel Citra
643,Canico,PT,78.71,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
647,Balaghat,IN,89.53,clear sky,21.8,80.1833,Hotel celebration
650,Peniche,PT,81.28,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
659,Misratah,LY,75.13,clear sky,32.3754,15.0925,Almasa Hotel
660,Fallon,US,84.07,broken clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
662,West Bay,KY,89.67,few clouds,19.3667,-81.4167,Calypso Cove
669,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
671,Condado,CU,86.86,overcast clouds,21.8767,-79.8403,Casa Guachinango
675,Fort-Shevchenko,KZ,76.87,clear sky,44.5086,50.263,Oasis hotel Bautino
679,Pandan,PH,80.85,overcast clouds,14.0453,124.1694,Bonifacio Lodge
